1 ;	北京大批公共寄售 & 保税的中心 
808 ;	中国全国矿产进口 & 出口 
809 ;	大宇天津电子 
810 ;	中国国家电子材料 
811 ;	上海钟滇材料开发公司 
812 ;	阿克苏诺贝尔太古漆油 (广州) 
813 ;	中国北方工业哈尔滨公司 
814 ;	上海证券中央结算 & 注册 
815 ;	中国国际工程和材料公司 
816 ;	天津市北方房地产开发有限公司 
817 ;	上海龟甲万交易 
818 ;	建设工业 (集团) 
819 ;	中国石油 & 化工 
820 ;	中国石油和化工 
821 ;	西飞集团进出口 
822 ;	LG 电子 (中国) 
823 ;	中国五矿 
824 ;	浙江 TAITAN 
825 ;	上海牡丹油墨有限责任公司 
826 ;	广东省现代 MOBIS 
827 ;	中国嘉陵工业公司有限公司集团 
828 ;	北京亚信网络系统集成 
829 ;	核电组 
830 ;	上海玻璃机械厂 
831 ;	ABB 中国工程 
832 ;	湖北孝感华中汽车灯 
833 ;	湖北华中精密仪器厂 
834 ;	阿斯利康制药 
835 ;	五矿钢铁 
836 ;	中国国家邮政和电讯电器深圳 
837 ;	中国邮政 & 电信行业公司桂林公司 
838 ;	中化集团海南公司 
839 ;	上海金陵表面贴装程序集 
840 ;	美康医疗器械 & 外科 
841 ;	中国银行股份有限公司。
842 ;	北京广田电信经济 & 贸易公司 
843 ;	上海志成国际进口 & 出口 
844 ;	沈阳东大阿尔派软件 
845 ;	南昌崽 
846 ;	柯达 （中国） 有限公司，有限公司长春办事处办事处 
847 ;	上海建筑材料供应头公司 
848 ;	杜邦中国控股 
849 ;	交通银行 
850 ;	IBM (中国) 投资
851 ;	MPT 
852 ;	全国移动电信 
853 ;	在江苏省六所大学 
854 ;	河南省绿色卡 
855 ;	济南跨警察 
856 ;	宁波信息港 
857 ;	国芳大学 
858 ;	马鞍山东安全 
859 ;	武汉市铁 & 钢 
860 ;	科技发展局江苏分公司 
861 ;	发展银行广东司 
862 ;	重庆政府 
863 ;	福建医疗局 
864 ;	山塘郑栋 
865 ;	国家统计局 
866 ;	四川省证券 
867 ;	中国吉通汽车配件 
868 ;	PRIMALLIANCE 国际 
869 ;	成都市政府 
870 ;	上海吴焕国际贸易发展 
871 ;	数据 & 移动通信局的内部旺角 
872 ;	江苏省人民代表大会常务委员会办公室 
873 ;	四川省工商银行 
874 ;	移动通信局的 GUI 周 
875 ;	绍英电力工业局 
876 ;	上海汽车工业集团 
877 ;	深圳政府 
878 ;	浙商证券 
879 ;	广东省有线电视台 
880 ;	邮政电力器材华东公司 
881 ;	深圳三洋华强能源 
882 ;	联想集团公司 
883 ;	合肥经济学研究所 & 技术 
884 ;	拖把 TEC 研究所 
885 ;	浦东国际植物 
886 ;	宁波资料中心 
887 ;	上海东松国际贸易有限公司国际贸易 
888 ;	GUANGSHU 省移动通信局 
889 ;	有线电视郑州 
890 ;	瑞莱恩组 
891 ;	YOMOO 电子印刷 
892 ;	电讯局魏南山第十一 
893 ;	DHL 台湾 
894 ;	全国人民委员会办公室 
895 ;	青岛有线电视 
896 ;	企业社会责任 GLASSWOOL 
897 ;	企业社会责任岩棉 
898 ;	郑周铁路局 
899 ;	金融，江西省局 
900 ;	广州东国家税务局
901 ;	首汽集团北京国际快速运输质量 
902 ;	张长沙电业局 
903 ;	郑杜移动局 
904 ;	北京快乐债券网络系统 
905 ;	浙江省中国银行 
906 ;	东方信托 & 中国投资公司 
907 ;	PTT 云南省 
908 ;	四川省军 
909 ;	法操作员组深圳 
910 ;	深圳市 HUAYUCHANG 国际机场科学 & EDU DEV 
911 ;	云南省政府 
912 ;	辽阳市商业银行 
913 ;	湖北襄樊 97年扩展 
914 ;	莆田市劳动局 
915 ;	湖南省信息系统一体化合作 
916 ;	北京合力金桥系统 
917 ;	东北林业大学 
918 ;	通信遥测和遥控美 
919 ;	陕西交远经济技术 
920 ;	虹桥电脑 & COMMNUICATIONS 
921 ;	湖南 CPT 信息技术 
922 ;	SUPERFASTNET 有限责任公司 (XIANTEWANGLUO) 
923 ;	坑周有线电视站 
924 ;	协同信息技术 
925 ;	广州红帆信息技术 
926 ;	北京凯美特贸易有限公司技术 
927 ;	中国国际电子商务中心 
928 ;	上海田郑 ELEC SYS 工程 
929 ;	烟台市劳动通信 & 网络 
930 ;	完美的方式技术 
931 ;	哈尔滨 AEPAN 电子 & 计算机 
932 ;	福州想 ELEC 
933 ;	武汉政府 
934 ;	桥信息组 
935 ;	西安新力系统集成 
936 ;	武汉电信城 
937 ;	武汉市雷电信息系统 
938 ;	必和必拓矿产亚洲 
939 ;	APV 美洲 
940 ;	ASIANINFO 反恐委员会网络系统 
941 ;	重庆宏图公司 
942 ;	高速公路江苏 
943 ;	江西铜行业 
944 ;	湖北省司法局 
945 ;	PTT 云南省 
946 ;	浙江小型断路器 
947 ;	无锡市燃发电机有限公司 
948 ;	沈燕 PTT 
949 ;	深圳市南头学校 
950 ;	浙江传呼台
